Reference, Value, Footprint, Datasheet
R5,1M,Resistors_SMD:R_0805_HandSoldering,
C4,1u,Capacitors_SMD:C_1206_HandSoldering,
U1,TL072,Housings_DIP:DIP-8_W7.62mm_Socket,
R1,47k,Resistors_SMD:R_0805_HandSoldering,
R2,47k,Resistors_SMD:R_0805_HandSoldering,
C2,0.1u,Capacitors_SMD:C_0805_HandSoldering,
R3,100k,Resistors_SMD:R_0805_HandSoldering,
R4,10k,Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
RV1,50k,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
RV2,50k,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
U2,TL072,Housings_DIP:DIP-8_W7.62mm_Socket,
R16,10k,Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
C5,1u,Capacitors_SMD:C_1206_HandSoldering,
R10,1M,Resistors_SMD:R_0805_HandSoldering,
C9,33n,Capacitors_ThroughHole:C_Rect_L7.0mm_W2.5mm_P5.00mm,
R21,200k,Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
R18,470,Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
C13,22n,Capacitors_ThroughHole:C_Rect_L7.0mm_W2.5mm_P5.00mm,
R20,200k,Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
R17,1k,Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
U3,TL072,Housings_DIP:DIP-8_W7.62mm_Socket,
C3,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C8,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C6,22n,Capacitors_ThroughHole:C_Rect_L7.0mm_W2.5mm_P5.00mm,
P2,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,
P3,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,
RV3,250k,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
C10,2.2n,Capacitors_ThroughHole:C_Rect_L7.0mm_W2.5mm_P5.00mm,
R22,10k,Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
R19,1k,Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
C7,10n,Capacitors_ThroughHole:C_Rect_L7.0mm_W2.5mm_P5.00mm,
C1,0.1u,Capacitors_SMD:C_0805_HandSoldering,
P1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,
R7,100k,Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
R8,NC,Resistors_ThroughHole:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
C11,NC,Capacitors_ThroughHole:C_Rect_L7.0mm_W2.5mm_P5.00mm,
RV4,NC,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,
C12,10u,Capacitors_SMD:CP_Elec_5x5.3,
